"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.88,65.5291811660681,5,622,188,0.632672738353527
"pl2",2.12,27.6342648958047,5,217,75,0.0904302763636712
"pl3",1.8,24.8398151347707,5,166,66,0.160835703728733
"pl4",1.96,18.8494582692195,5,126,50,0.0708387218508268
"pl5",2.12,17.1283927681372,5,110,45,0.113402422785452
"pl6",2.04,17.0499965506402,5,101,45,0.0782719004740846
"pl7",1.96,16.3312461795117,5,86,42,0.105716918868661
"pl8",2.6,14.5664465168481,5,117,41,0.0282978330742833
"pl9",2.52,13.9719607710449,5,98,38,0.0393749478483636
"pl10",2.2,13.1686032812562,5,78,34,0.085961081563529
"pl11",2.12,11.7893743790393,5,54,30,0.067265244500202
"pl12",2.44,10.1563571158334,5,71,28,0.0178355665083249
"pl13",2.44,10.1837807585869,5,61,28,0.0638134525340951
"pl14",2.44,9.36533605250844,5,58,25,0.0418095664926058
"pl15",2.92,5.94046440616946,3,28,21,0.0218062983142743
"pl16",2.76,7.46086795654091,4,33,21,0.0264666858443524
"pl17",2.6,7.77390727524526,5,46,21,0.0241639943984599
"pl18",2.68,7.09330752005574,4,28,20,0.028738105237606
"pl19",2.6,7.07955000657215,5,42,19,0.0308861086143015
"pl20",2.76,6.14741250823532,4,26,18,0.0221520291126862
"pl21",2.84,5.89349078470133,4,30,18,0.0118228719813713
"pl22",2.6,6.29969187139388,5,35,17,0.027191851174482
"pl23",2.84,5.1645779153809,3,22,17,0.00951211103189003
"pl24",3.08,4.63821154781607,3,24,17,0.00989588747284679
"pl25",2.84,4.70613381440297,3,18,15,0.00977942761747225
"pl26",2.6,4.58634133661665,5,22,12,0.0189773297687644
"pl27",2.84,4.37825021436881,4,20,12,0.0189244103596241
"pl28",2.84,4.01429198444041,4,15,12,0.0139179851699614
"pl29",2.68,4.28915244122182,4,11,11,0.024353411639403
"pl30",3.16,2.80908204761029,3,13,10,0.00298062493526088
"pl31",2.92,2.85475796436248,3,12,10,0.00923079675938751
"pl32",2.52,3.99631386280385,5,15,10,0.0179321135974743
"pl33",3,2.83371338243702,3,11,10,0.00749647992645781
"pl34",2.92,3.31915488446603,4,10,10,0.0178544687838327
"pl35",2.92,2.86863677245324,2,4,10,0.00677689453698446
"pl36",2.84,3.13493772193808,3,6,9,0.0067576435155105
"pl37",2.84,3.056786350904,4,6,8,0.0141844630811759
"pl38",2.92,2.66729337317138,3,7,8,0.00943857256408229
"pl39",2.76,2.93682710111801,4,9,8,0.00745124436019577
"pl40",2.76,2.66582771233934,3,8,7,0.0125343299641077
"pl41",2.68,2.91117970311081,4,5,7,0.0156705426668776
"pl42",2.84,2.06469342689249,3,5,6,0.00510273355601829
"pl43",2.68,2.49041671367253,4,3,6,0.0186813667150437
"pl44",3,1.85417439703154,3,2,5,0.00430657770586611
"pl45",2.76,1.90688211959093,3,3,5,0.00700281683768915
"pl46",2.92,1.41719830836311,3,1,4,0.00773728821765645
"pl47",2.76,1.74768966258328,3,0,4,0.0143899306877896
"pl48",2.84,1.54287056612638,3,0,4,0.00820771165808514
"pl49",2.92,1.18611658564359,2,0,3,0.00466809656628989
"pl50",2.92,1.02121911737388,2,1,3,0.0061864332435108
"pl51",2.92,1.12826792255364,2,1,3,0.0106004478738476
"pl52",2.84,1.29031785227029,3,0,3,0.0132699893246011
"pl53",2.76,1.37759620085201,3,0,3,0.0118816933972371
"pl54",2.92,1.08533964310362,2,0,3,0.00318089140673068
"pl55",3.56,0.549755620723363,1,0,2,0.00319190556112873
"pl56",3.08,0.697584541062802,2,0,2,0.00489469771472656
"pl57",2.92,0.883720930232558,2,0,2,0.0045607277260072
"pl58",2.92,0.767676767676768,2,0,2,0.00564313276115691
"pl59",3,0.814409484724122,2,0,2,0.00312443369342755
"pl60",2.92,0.780712788259958,2,0,2,0.00615691323451952
"pl61",2.92,0.864082687338501,2,0,2,0.00456025439278242
"pl62",2.84,0.955373978629793,2,0,2,0.00959154199808151
"pl63",2.92,0.864082687338501,2,0,2,0.00456025439278242
"pl64",3.16,0.829615567157095,2,0,2,0.0031221236861174
"pl65",2.92,0.843363209560393,1,0,2,0.00777144357907953
"pl66",3,0.422222222222222,1,0,1,0.0022901513991556
