"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,41.2369718897785,8,489,103,0.228417884815506
"pl2",1.75,46.6567119902428,8,590,119,0.246255523245964
"pl3",1.125,43.3635000018902,8,484,108,0.25195872014676
"pl4",1.875,33.2885362420294,8,425,86,0.143833626541996
"pl5",1.875,27.2124811504136,8,284,67,0.148726677284228
"pl6",1.875,29.5607793935025,8,338,74,0.145049457355446
"pl7",1.375,32.6074038986544,8,337,79,0.196901969175601
"pl8",2.25,19.105970498594,7,196,51,0.0811134253783208
"pl9",2,20.5505816972098,8,206,50,0.112239897514347
"pl10",2.25,14.3101056329889,7,95,35,0.0865402716460651
"pl11",1.875,19.8376144965996,8,159,46,0.132021636250708
"pl12",2,28.1226046399421,8,307,69,0.154599625803551
"pl13",2.375,13.1598604548261,7,105,32,0.0756426705616314
"pl14",2.25,19.768630403413,7,215,53,0.0766636916504079
"pl15",2,23.4973409011234,8,244,57,0.135868230039811
"pl16",1.875,17.8004698581358,8,155,41,0.111254425048312
"pl17",1.75,15.2440789060926,8,114,34,0.104767391001622
"pl18",2.75,1.39393939393939,2,0,2,0.0169410304708087
"pl19",2.5,5.6739255913169,7,25,12,0.0452847467494799
"pl20",2.25,18.3540323528343,7,114,44,0.116220188196991
"pl21",2.5,8.85902503293808,5,47,23,0.0379918480406785
"pl22",1.75,19.6116516333908,8,192,47,0.105745623672781
"pl23",2.875,6.20718099596818,4,39,19,0.017801356864009
"pl24",1.875,8.98469563818871,8,27,17,0.0846079796988074
"pl25",2.75,10.066084182789,6,78,27,0.0390572013024395
"pl26",1.75,11.1937310472241,8,39,22,0.0975610817509467
"pl27",2.625,13.3139865473962,7,106,34,0.0640802176173144
"pl28",2.375,10.6764041585013,7,79,26,0.0639064961731339
"pl29",2.625,14.6855359743232,5,117,40,0.0419237202118615
"pl30",2.25,10.8371990328512,7,96,26,0.0574298583053121
"pl31",2.5,10.2741429058968,7,55,24,0.0680538144362128
"pl32",2.875,7.86633752201774,3,47,28,0.0100305010805324
"pl33",2.75,3.59124524090199,6,6,8,0.0284702411983288
"pl34",2.75,4.53251508217183,5,17,10,0.0297976364350463
"pl35",3,3.72807063772739,5,16,10,0.0175509562012777
"pl36",2.5,6.79179203710096,6,40,17,0.0369981169021855
"pl37",2.375,8.17946017877368,7,34,18,0.0636150349029665
"pl38",2.75,7.38800789853421,6,44,18,0.0407466405134733
"pl39",2.5,5.74568704952336,6,27,12,0.0423578662334421
"pl40",2.75,6.45532616708011,6,38,17,0.0336269470796767
"pl41",2.75,4.95488160453835,6,23,12,0.0314235539542397
"pl42",2.375,6.51926130135849,7,33,15,0.0470489368146691
"pl43",2.625,5.24984628897672,5,20,13,0.0306844104099514
"pl44",2.625,2,3,0,3,0.0246142127118234
"pl45",2.5,5.91767822820454,6,32,14,0.0382271811340476
"pl46",2.5,4.28821493787169,6,3,8,0.0433071217076781
"pl47",2.875,2.88328606259641,4,11,8,0.0131773539280725
"pl48",2.75,3.44362619328294,5,5,7,0.031596452239041
"pl49",2.875,4.43741765480896,4,17,11,0.0162958593814932
"pl50",2.875,1.99014778325123,4,3,5,0.0141030672350183
"pl51",2.625,3.38405629458261,5,7,7,0.0279184048139003
"pl52",2.875,4.67428056306775,5,19,12,0.0219478233452941
"pl53",2.75,3.51216876182551,5,9,9,0.0218892437334014
"pl54",2.625,3.7768115942029,4,8,8,0.0261864605095215
"pl55",2.875,2.19244774210449,3,3,5,0.0151109621050212
"pl56",2.625,4.32663943047575,7,4,8,0.0405159009653855
"pl57",2.75,4.12125266038309,3,12,11,0.0185122089553253
"pl58",2.75,3.41146245059289,5,7,8,0.0221643749167657
"pl59",2.75,2.17139141052185,3,2,5,0.0161091763619133
"pl60",2.75,2.31989459815547,3,2,5,0.0171154240823159
"pl61",2.75,4.0355128929042,4,15,10,0.0210600473507395
"pl62",2.875,4.00594177064765,4,9,9,0.0238655892629076
"pl63",3,1.04337492572787,2,1,3,0.00576700838269458
"pl64",2.625,3.48115942028986,3,3,6,0.0308526127426097
"pl65",2.75,2.44824016563147,3,0,6,0.0159482089327657
"pl66",2.75,2.06176548089592,3,2,4,0.0178819825181035
"pl67",2.875,1.76582633053221,4,0,4,0.0152143608349063
"pl68",2.875,1.04761904761905,2,0,2,0.0105579568500108
"pl69",2.875,2.34700783579502,4,4,6,0.0136499872315797
"pl70",2.875,1.2017316017316,2,1,3,0.00692440594201247
"pl71",2.75,1.23809523809524,2,0,2,0.0141893576832466
"pl72",3,1.15590689503733,3,0,3,0.00580868363802924
"pl73",2.875,1.56559139784946,1,0,5,0.00618981638626193
"pl74",2.875,2.39393939393939,3,1,5,0.0155078039113861
"pl75",2.75,2.08771929824561,3,1,4,0.0203142142906167
"pl76",2.875,1.2781954887218,2,1,3,0.00860435175070613
"pl77",2.875,2.1287784679089,3,1,4,0.0171885311723765
"pl78",3.375,0.695652173913043,2,0,2,0.00131138098780205
"pl79",2.75,2.42346542346542,4,0,4,0.022636973629159
"pl80",2.75,1.58771929824561,3,0,3,0.0178861993019397
"pl81",2.875,0.666666666666667,1,0,1,0.00860594109312501
"pl82",2.75,1.22727272727273,2,0,2,0.0140428212920431
"pl83",3.375,0.900780379041249,2,1,3,0.00182456863863538
