"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,3.5,3,1,5,0.382458948969856
"pl2",1.5,2.83333333333333,3,1,4,0.297986701316962
"pl3",1.5,2.83333333333333,3,1,4,0.318764602669563
"pl4",1.5,2.83333333333333,3,1,4,0.284139607565039
"pl5",2.5,1.5,2,0,2,0.174784766823507
"pl6",2,1.66666666666667,2,0,2,0.195852876073134
"pl7",2.5,1,1,0,1,0.116939411274144
"disp1",1,4.3,3,4,7,0.455072687395807
"disp2",1.5,2.83333333333333,3,1,4,0.307093751426566
"disp3",2,2.06666666666667,2,0,3,0.225106669482909
"disp4",1.5,2.33333333333333,3,0,3,0.253207434592484
"disp5",1.5,2.33333333333333,3,0,3,0.247868165462557
"disp6",2,1.33333333333333,2,0,2,0.149588208067173
