"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.36363636363636,11.3521937908512,5,47,25,0.303366634786032
"pl2",1.18181818181818,11.0773033255714,5,30,22,0.325029552437525
"pl3",1.72727272727273,5.70783104174409,5,3,9,0.178081372925737
"pl4",1.36363636363636,7.9540707790183,5,9,14,0.259031065913019
"pl5",1.72727272727273,4.95152094282529,5,0,7,0.165762329905681
"pl6",2.09090909090909,5.13061964744124,5,6,8,0.151156855655115
"pl7",1.72727272727273,5.7989283502327,5,3,9,0.19350509100322
"pl8",2.09090909090909,3.90390189520624,5,0,5,0.124991777689817
"pl9",1.54545454545455,5.3842331581462,5,0,8,0.179817851976249
"pl10",2.09090909090909,3.90390189520624,5,0,5,0.123917424244984
"pl11",2.45454545454545,1.92033126293996,4,0,4,0.074810356649251
"pl12",2.63636363636364,1.74927371479096,3,0,3,0.0578270297833166
"pl13",2.09090909090909,4.91737220522828,5,10,9,0.142720377867399
"pl14",2.81818181818182,0.733333333333333,1,0,1,0.0230743110910025
"pl15",2.63636363636364,1.40947780078215,3,0,3,0.0529572184537522
"pl16",2.63636363636364,1.32441471571906,2,0,2,0.0521715857307663
"pl17",2.63636363636364,1.32441471571906,2,0,2,0.0521715857307663
"pl18",2.45454545454545,1.84822423952859,3,0,3,0.0662415499338818
"pl19",2.63636363636364,1.8575712143928,3,0,3,0.0583272090575415
"pl20",2.63636363636364,1.32441471571906,2,0,2,0.0521715857307663
"pl21",2.81818181818182,1,1,0,1,0.029915583270043
"pl22",2.81818181818182,0.885668276972625,2,0,2,0.0303672330862412
"pl23",3,0.407407407407407,1,0,1,0.012277400862725
"pl24",2.81818181818182,0.846153846153846,1,0,1,0.0305096868859499
"pl25",2.81818181818182,0.846153846153846,1,0,1,0.0305096868859499
"disp1",1,7.34391397437896,5,6,13,0.258611619631052
"disp2",1.90909090909091,4.91590919366598,5,6,9,0.164404441811248
"disp3",1.18181818181818,8.35842284897392,5,19,16,0.263747474645191
"disp4",2.09090909090909,4.23296136674745,5,4,7,0.156381400554614
"disp5",1.36363636363636,5.75300942665282,5,4,10,0.199470787824834
"disp6",2.45454545454545,3.22591693574657,3,3,6,0.106134601933316
"disp7",1.18181818181818,6.28383899394803,5,2,11,0.220973829662241
"disp8",2.09090909090909,6.14950674486789,5,16,12,0.187260889883827
"disp9",2.63636363636364,1.59090454772614,3,0,3,0.0583494495479996
"disp10",1.90909090909091,4.35638352663524,5,1,7,0.169378147812711
"disp11",2.45454545454545,2.15843454790823,3,0,3,0.0932914253446422
"disp12",2.63636363636364,1.84597701149425,3,0,3,0.0717461365322866
"disp13",2.27272727272727,2.63669541747345,4,0,4,0.105648260293908
"disp14",2.09090909090909,3.28375424100286,5,0,5,0.131577800259079
"disp15",2.27272727272727,3.29917528864897,4,0,5,0.133693594485527
"disp16",2.09090909090909,3.28375424100286,5,0,5,0.128426806967513
"disp17",2.45454545454545,2.31282051282051,3,0,3,0.102655495237172
"disp18",2.63636363636364,1.57948717948718,2,0,2,0.0726913914087975
"disp19",2.09090909090909,3.37002875080678,5,0,5,0.137714283728922
"disp20",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp21",2.63636363636364,1.57948717948718,2,0,2,0.0726913914087975
"disp22",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp23",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp24",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp25",2.63636363636364,1.57948717948718,2,0,2,0.0675627571875759
"disp26",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp27",2.45454545454545,1.80267558528428,3,0,3,0.0715936798129821
"disp28",2.63636363636364,1.32441471571906,2,0,2,0.0550841225296885
"disp29",2.81818181818182,0.733333333333333,1,0,1,0.035092738049596
"disp30",2.63636363636364,1.21159420289855,2,0,2,0.0516022953328895
"disp31",2.81818181818182,0.846153846153846,1,0,1,0.0375986533592015
"disp32",2.63636363636364,1.21159420289855,2,0,2,0.0516022953328895
"disp33",2.81818181818182,0.846153846153846,1,0,1,0.0375986533592015
