"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.16666666666667,7.62138963242126,4,7,16,0.322247134028641
"pl2",1.5,5.50747343027369,4,2,11,0.243017752836476
"pl3",2.16666666666667,3.40394716593249,4,4,7,0.138571507437885
"pl4",1.5,5.53232492956346,4,4,11,0.25410544905129
"pl5",2.33333333333333,2.85972001497322,4,2,6,0.117091675260912
"pl6",2.33333333333333,3.10206488006851,4,3,6,0.133689608492933
"pl7",1.66666666666667,5.08404906749449,4,5,10,0.231793200757361
"pl8",2,3.90875956453799,4,3,8,0.171269966776256
"pl9",2.33333333333333,3.15778132199185,4,2,6,0.138785030339415
"pl10",2.66666666666667,2.06248435627746,3,1,5,0.0669749068815555
"pl11",2.16666666666667,3.31869067394388,4,3,7,0.12470735848093
"pl12",2.16666666666667,2.90191430600489,4,0,5,0.152459271982225
"pl13",2.33333333333333,2.67920446276983,4,2,5,0.118041313899837
"pl14",2.66666666666667,1.60988997732992,3,2,4,0.0500478071346629
"pl15",2.83333333333333,0.684210526315789,1,0,1,0.0401755405487313
"pl16",2.66666666666667,1.45664596273292,3,0,3,0.065280957290902
"pl17",2.33333333333333,2.01497473485479,4,0,4,0.0919284860472107
"pl18",2.83333333333333,1.65592769803296,2,2,4,0.052911359528416
"pl19",2.66666666666667,1.10356536502547,2,0,2,0.0590938429294224
"pl20",2.5,1.76942791762014,3,0,3,0.0979695974080089
"pl21",2.83333333333333,0.813294232649071,2,0,2,0.0231542037585902
"pl22",2.83333333333333,0.684210526315789,1,0,1,0.0401755405487312
"pl23",2.5,1.93363844393593,3,0,3,0.108748981624838
"pl24",4.83333333333333,0.471987480438185,1,0,2,0.000917215483092224
"pl25",2.83333333333333,0.684210526315789,1,0,1,0.0360289495802773
"pl26",2.83333333333333,0.684210526315789,1,0,1,0.0360289495802773
"pl27",2.66666666666667,1.36842105263158,2,0,2,0.0762044901290086
"pl28",3,0.787878787878788,2,0,2,0.0223869988567562
"pl29",2.83333333333333,0.813294232649071,2,0,2,0.0231542037585902
"pl30",2.83333333333333,0.419354838709677,1,0,1,0.0189183023806911
"pl31",2.83333333333333,0.565217391304348,1,0,1,0.0325444914958292
"pl32",2.83333333333333,0.684210526315789,1,0,1,0.0401755405487312
"pl33",2.83333333333333,0.684210526315789,1,0,1,0.0360289495802773
"pl34",2.83333333333333,0.52,1,0,1,0.026055098293143
"pl35",2.83333333333333,0.565217391304348,1,0,1,0.0325444914958293
"disp1",1.76923076923077,6.52300689506572,4,9,13,0.251430041494047
"disp2",1.46153846153846,8.42806507218272,4,17,18,0.310385486542563
"disp3",1.92307692307692,4.90852725705667,4,4,9,0.201294724356531
"disp4",2.23076923076923,3.18928571428571,4,1,6,0.135011983385903
"disp5",1.46153846153846,7.29462939021762,4,12,15,0.278350033188166
"disp6",1.92307692307692,4.68452380952381,4,2,9,0.195071392277003
"disp7",1.92307692307692,4.51712454212454,4,1,8,0.195760947469789
"disp8",2.23076923076923,3.11355311355311,4,0,5,0.141933071184125
"disp9",2.38461538461538,3.06623033828916,4,5,7,0.0905045960192036
"disp10",2.38461538461538,3.51841736694678,4,5,6,0.146157746947243
"disp11",2.53846153846154,2.40056022408964,3,2,5,0.0845773760370665
"disp12",2.23076923076923,2.91391941391941,4,0,5,0.126605797002197
"disp13",2.53846153846154,1.52380952380952,3,0,3,0.0667240782252662
"disp14",2.07692307692308,3.3040293040293,4,0,6,0.137107678078448
"disp15",2.53846153846154,3.16146843352726,3,3,7,0.0883785926313254
"disp16",2.69230769230769,1.73214285714286,3,0,3,0.0725487187976457
"disp17",2.69230769230769,1.02857142857143,2,0,2,0.0473072036533056
"disp18",2.69230769230769,1.89880952380952,3,0,3,0.0832707416411913
"disp19",2.69230769230769,1.50320512820513,3,0,3,0.0578417913343756
"disp20",2.84615384615385,0.875,2,0,2,0.0308378355211986
"disp21",3.61538461538462,0.375,1,0,1,0.00647806612129722
"disp22",3.46153846153846,0.559837728194726,1,0,2,0.00696743949642992
"disp23",2.69230769230769,0.89010989010989,2,0,2,0.0314207962460475
"disp24",2.84615384615385,0.857142857142857,1,0,1,0.0417108832764471
"disp25",2.84615384615385,0.666666666666667,1,0,1,0.0328907897264512
"disp26",5.46153846153846,0.206896551724138,1,0,1,0.000118722135636467
"disp27",3,0.461538461538462,1,0,1,0.0179363580365287
"disp28",2.84615384615385,0.6,1,0,1,0.0300027467124193
"disp29",3.46153846153846,0.352941176470588,1,0,1,0.00684871736079346
