"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,5.74285714285714,3,8,9,0.43062847938786
"pl2",1,4.45714285714286,3,4,6,0.313917869083285
"pl3",Inf,0,1,0,3,0
"pl4",1.66666666666667,3.0952380952381,2,2,5,0.236390258355175
"pl5",1.66666666666667,3.19047619047619,2,1,5,0.263820440713135
"pl6",2.33333333333333,1.42857142857143,2,0,2,0.106957388756903
"pl7",1,3,3,0,3,0.227414498258519
"pl8",2.33333333333333,1.6,2,0,2,0.13819350962482
"pl9",2.33333333333333,1,1,0,1,0.0909858334946427
"pl10",Inf,0,1,0,1,0
"pl11",Inf,0,1,0,1,0
"pol1",1,4.62857142857143,3,3,6,0.36518046224087
"pol2",Inf,0,1,0,2,0
"pol3",1,5.05714285714286,3,5,7,0.393444822935827
"pol4",Inf,0,1,0,1,0
"pol5",1,3,3,0,3,0.224770190401721
"pol6",2.33333333333333,1,1,0,1,0.0725948781185601
"pol7",1.66666666666667,2.42857142857143,2,0,3,0.204137447148222
"pol8",2.33333333333333,1,1,0,1,0.0995847164318277
"pol9",2.33333333333333,1.6,2,0,2,0.154250996003049
"pol10",2.33333333333333,1.6,2,0,2,0.160594345462132
"pol11",2.33333333333333,1.42857142857143,2,0,2,0.097329241356184
"pol12",3,0.6,1,0,1,0.0546662795712212
"pol13",2.33333333333333,1.6,2,0,2,0.160594345462132
"pol14",Inf,0,1,0,1,0
"pol15",Inf,0,1,0,1,0
"pol16",2.33333333333333,1,1,0,1,0.0995847164318276
"pol17",3,0.6,1,0,1,0.0546662795712212
"pol18",3,0.6,1,0,1,0.0610096290303043
