"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",2.2,3.53333333333333,3,4,6,0.0573219093120432
"pl2",1,24.9333333333333,4,109,51,0.57020341623803
"pl3",1,14.4333333333333,4,54,27,0.196982605293328
"pl4",1,7.86666666666667,4,10,11,0.141299058901484
"pl5",2.6,1.73333333333333,2,1,3,0.0347359837311203
"pl6",1,12.9666666666667,4,35,22,0.266283257447599
"pl7",2.2,3.7,3,2,6,0.0906084867343315
"pl8",3,3.36666666666667,3,10,9,0.0280018302691278
"pl9",2.6,3.13333333333333,3,1,6,0.0493163654211957
"pl10",2.2,2.9,3,0,4,0.0542523656487247
"pl11",2.6,5.83333333333333,3,6,12,0.147783227359428
"pl12",2.2,2.33333333333333,2,1,3,0.0442407437704669
"pl13",2.6,2.06666666666667,3,0,3,0.0495991267809391
"pl14",3,0.4,1,0,1,0.00864336201524175
"pol1",2.5,1.45454545454545,2,0,2,0.0310751770391601
"pol2",1,6.51748251748252,4,8,10,0.195024528679121
"pol3",1,4.90909090909091,4,2,6,0.161629444093953
"pol4",2,2.83916083916084,3,0,4,0.0539926681167319
"pol5",2.5,1.83916083916084,2,0,3,0.0849936689172243
"pol6",2.5,2.17249417249417,3,0,4,0.0333437720157715
"pol7",1,4,4,0,4,0.143552835215233
"pol8",2,2.38461538461538,3,0,3,0.1050018926082
"pol9",1,5.29370629370629,4,4,7,0.161614667919453
"pol10",2,2,2,0,2,0.102215926115258
"pol11",2.5,1.38461538461538,2,0,2,0.0877356113640622
"pol12",2.5,1,1,0,1,0.0172662812441379
"pol13",2,2.38461538461538,3,0,3,0.120274551463451
"pol14",1,4.45454545454546,4,1,5,0.150557384398556
"pol15",1.5,3.38461538461538,3,0,4,0.117074745620591
"pol16",2.5,1.38461538461538,2,0,2,0.0877356113640622
"pol17",2,2.38461538461538,3,0,3,0.120274551463451
"pol18",2.5,1,1,0,1,0.024070627855837
"pol19",3,0.717948717948718,2,0,2,0.00944802974950599
"pol20",2,2.71794871794872,3,0,4,0.111663955864764
"pol21",1.5,3,3,0,3,0.126286553971095
"pol22",2.5,1,1,0,1,0.0696769860158685
"pol23",2.5,1.45454545454545,2,0,2,0.0310751770391601
"pol24",3,0.384615384615385,1,0,1,0.00424462320595841
"pol25",3,0.333333333333333,1,0,1,0.00342173175487652
"pol26",3,0.454545454545455,1,0,1,0.00540607368746391
"pol27",2,2.83916083916084,3,0,4,0.131346611158849
