"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.125,32.7844282440407,7,238,75,0.283874463201675
"pl2",1.75,30.4646613017511,7,296,74,0.212872515327907
"pl3",1.125,32.7411677791615,7,219,73,0.29895118889095
"pl4",1.25,28.649859148618,7,185,63,0.260660382030491
"pl5",1.375,22.8440537517108,7,108,48,0.225749374720104
"pl6",1.875,20.524092468444,7,114,44,0.187968684692832
"pl7",1.5,15.9354457554059,7,58,31,0.167493579373878
"pl8",1.75,12.7419856738732,7,57,26,0.118045227986692
"pl9",1.625,13.3366173495475,7,58,26,0.125950012476047
"pl10",1.75,13.0358536565117,7,48,25,0.132719880213613
"pl11",2.375,10.1283746287821,6,49,23,0.0828622757491745
"pl12",2,10.2374008849092,7,38,20,0.10018044072296
"pl13",2,10.2205099809573,7,41,20,0.0997920356887783
"pl14",2.5,8.50559760483466,6,39,19,0.0728037538436007
"pl15",2.5,7.81638109155527,5,30,18,0.0618994590727296
"pl16",1.875,8.83528669975663,7,34,17,0.086731571771311
"pl17",2.25,7.1327736718018,6,29,15,0.0652918017929759
"pl18",2.875,4.256464686428,4,10,11,0.0328095950613056
"pl19",2.375,5.25356372873791,6,11,10,0.0557286032879803
"pl20",3,2.54823630376136,3,5,7,0.0147744126214218
"pl21",2.5,3.11052933426335,5,0,5,0.0366009144846528
"pl22",2.75,1.99571844702404,3,2,4,0.0207194743879817
"pl23",3,1.56148960019928,3,0,4,0.0107804833025233
"pl24",2.875,1.88676342376532,2,0,4,0.0167692818874949
"pl25",2.75,1.74927811236697,3,0,3,0.0219195222833173
"pl26",3,0.84221525600836,2,0,2,0.00753401062995924
"pl27",2.875,0.764705882352941,1,0,1,0.00946512571909573
"pl28",3.125,0.393939393939394,1,0,1,0.00235737551934361
"pl29",3.625,0.351351351351351,1,0,1,0.00154286180560258
"pl30",2.875,0.52,1,0,1,0.00660324319936599
"pol1",1.30769230769231,10.8582741184572,7,21,20,0.164988738809542
"pol2",1.30769230769231,9.01354107372414,7,10,16,0.144416627819849
"pol3",1.30769230769231,9.03355124407756,7,5,15,0.156240102466108
"pol4",1.76923076923077,7.3468116678643,7,9,13,0.114980348890039
"pol5",1.15384615384615,8.1966255966256,7,2,13,0.139254883486311
"pol6",1.92307692307692,7.05128134006852,7,16,13,0.100750707790693
"pol7",1.61538461538462,6.82373883426515,7,3,11,0.117980779638141
"pol8",1.46153846153846,6.76329226329226,7,0,10,0.130820773260911
"pol9",1.46153846153846,6.53601953601954,7,0,10,0.121629150419783
"pol10",1.46153846153846,6.76329226329226,7,0,10,0.124631209723103
"pol11",1.61538461538462,6.22402743455375,7,1,10,0.107493978729055
"pol12",1.76923076923077,6.04790764790765,7,2,9,0.110827479677091
"pol13",1.92307692307692,5.52568542568543,7,3,9,0.0936112108102631
"pol14",2.53846153846154,3.82140397106072,5,6,8,0.04903538256652
"pol15",2.23076923076923,4.20864281916913,6,1,7,0.0811257341570267
"pol16",2.07692307692308,4.57432181345225,6,2,7,0.0845475523108943
"pol17",1.92307692307692,5.07647907647908,7,0,7,0.101112009951129
"pol18",2.23076923076923,4.34197615250247,6,0,7,0.0851801100593537
"pol19",1.92307692307692,5.11457431457431,7,0,7,0.0974909803777343
"pol20",2.07692307692308,4.48124098124098,6,3,7,0.0769637808602767
"pol21",1.92307692307692,4.98124098124098,7,0,7,0.097451041851968
"pol22",2.23076923076923,3.44119915172547,6,0,6,0.0635811436634041
"pol23",2.23076923076923,3.72092352092352,5,3,6,0.0659167524001097
"pol24",2.23076923076923,4.15287659200703,5,1,6,0.0787943545551404
"pol25",2.23076923076923,4.11926552979185,6,0,6,0.0761361250225287
"pol26",2.07692307692308,4.18253968253968,6,0,6,0.0828663540029363
"pol27",2.07692307692308,4.02092352092352,6,0,6,0.0790313553552669
"pol28",2.38461538461538,3.45555555555556,5,2,6,0.0603143623680493
"pol29",2.07692307692308,4.18759018759019,6,0,6,0.0887217795921192
"pol30",2.23076923076923,4.27647907647908,6,0,6,0.0888014736549454
"pol31",2.38461538461538,3.65396825396825,5,2,6,0.0653652669207952
"pol32",2.38461538461538,3.06874960788004,4,2,5,0.0607713221167255
"pol33",2.23076923076923,3.87647907647908,5,0,5,0.0840298854150414
"pol34",2.23076923076923,3.80505050505051,5,0,5,0.0766440000790944
"pol35",2.23076923076923,3.74314574314574,5,0,5,0.0717086747404914
"pol36",2.53846153846154,2.94803675856307,5,0,5,0.0540104808533101
"pol37",2.23076923076923,3.81587301587302,5,0,5,0.0802117764123455
"pol38",2.53846153846154,3.03203463203463,5,0,5,0.0497656996221892
"pol39",2.23076923076923,3.46031746031746,5,0,5,0.0739260718887201
"pol40",2.38461538461538,3.12698412698413,4,1,5,0.062666895679082
"pol41",2.23076923076923,3.81587301587302,5,0,5,0.0802117764123456
"pol42",2.38461538461538,3.08455988455988,4,1,5,0.0544737486160828
"pol43",2.69230769230769,2.32581453634085,4,0,4,0.0360520630789549
"pol44",2.38461538461538,2.56060606060606,4,0,4,0.0507394543460011
"pol45",2.53846153846154,2.18165869218501,4,0,4,0.0391119489026109
"pol46",2.69230769230769,2.00786581839213,4,0,4,0.0316943132562251
"pol47",2.38461538461538,3.03838383838384,4,0,4,0.065313888410002
"pol48",2.69230769230769,2.37004830917874,3,0,4,0.0388077153447834
"pol49",2.53846153846154,2.57004830917874,4,0,4,0.0501589398106261
"pol50",2.53846153846154,2.36536796536797,4,0,4,0.0382816278741098
"pol51",2.53846153846154,2.3766081871345,4,0,4,0.0420400468708874
"pol52",2.69230769230769,2.26031746031746,4,0,4,0.0413855075943074
"pol53",2.38461538461538,3.08282828282828,4,0,4,0.0624504809967641
"pol54",2.38461538461538,2.5987012987013,4,0,4,0.0471438809997321
"pol55",2.69230769230769,2.43671497584541,4,0,4,0.0418963104457317
"pol56",2.53846153846154,2.41470342522974,4,0,4,0.0423140047407977
"pol57",2.38461538461538,2.75901875901876,4,0,4,0.0508243419427686
"pol58",2.38461538461538,2.92698412698413,4,0,4,0.0563532893202885
"pol59",2.38461538461538,2.91616161616162,4,0,4,0.0580387499551514
"pol60",2.53846153846154,2.47619047619048,4,0,4,0.0465229057894073
"pol61",2.38461538461538,2.85425685425685,4,0,4,0.0540652074133679
"pol62",2.84615384615385,1.66834327197304,3,2,4,0.0235406169732794
"pol63",2.38461538461538,2.81111111111111,4,0,4,0.0570585921385681
"pol64",2.53846153846154,2.15203463203463,3,2,4,0.0359682727004702
"pol65",2.53846153846154,1.87142857142857,3,0,3,0.0313609342723884
"pol66",2.69230769230769,1.5047619047619,3,0,3,0.0303282148307781
