"","Deutzia crenata","Angelica pubescens","Persicaria thunbergii","Rubus crataegifolius","Stenactis annuus","Viburnum plicatum","Reynoutria japonica","Kerria japonica","Rubus palmatus","Hydrangea macrophylla","Kalimeris yomena","Aralia cordata","Leucosceptrum stellipilum","Corydalis incisa","Angelica polymorpha","Weigela hortensis","Hydrangea paniculata","Impatiens textori","Cirsium microspicatum","Deutzia maximowicziana","Omphalodes japonica","Staphylea bumalda","Lindera obtusiloba","Macleaya cordata","Viola verecunda","Ligularia fischerii","Symplocos chinensis","Astilbe thunbergii","Orixa japonica","Hydrangea hirta","Ranunculus silerifolius","Carex curvicollis","Rorippa indica","Cardiandra alternifolia","Meliosma tenuis","Aralta elata","Aster ageratoides amplexifolius","Aster glehni","Agrimonia pilosa","Stephanandra incisa","Duchesnea chrysantha","Desmodium podocarpum","Corydalis pallida","Impatiens noli-tangere","Rhus javanica","Geranium nepalense","Lonicera gracilipes","Rabdosia trichocarpa","Viburnum phlebotricum","Osterium sieboldii","Lindera umbellata","Stellaria uchiyamana","Cardamine tanakae","Clethra barbinervis","Callicarpa japonica","Geum japonicum","Wisteria floribunda","Glechoma hederacea","Stachyurus praecox","Aster ageratoides","Euonymus alatus","Acer carpinifolium","Ampelopsis brevipedunculata","Paederia scandens","Trifolium repens","Rabdosia longituba","Swertia bimaculata","Vicia venosa","Cardamine regeliana","Prunus jamasakura","Rubus buergeri","Rhododendron kaempferi","Sambucus racemosa","Stellaria alsine","Achyranthes bidentata","Euptelea polyandra","Ixeris dentata","Paeonia japonica","Pollia japonica","Actinidia arguta","Albizzia julibrissin","Chelidonium majus","Cryptotaenia japonica","Digitaria ciliaris","Meehania urticifolia","Persicaria conspicua","Persicaria yokusaiana","Swida macrophylla","Torilis japonica","Trigonotis brevipes","Akebia quinata","Alangium platanifolium","Codonopsis lanceolata","Dipsacus japonicus","Patrinia villosa","Persicaria aestiva","Potentilla sundaica","Youngia denticulata","Amphicarpaea bracteata","Aster ageratoides ovatus","Aster subulatus","Bistorta tenuicaulis","Calamagrostis arundinacea","Clematis apiifolia","Eriobotrya japonica","Eupatorium chinense","Houttuynia cordata","Hypericum pseudopetiolatum","Kalimeris pinnatifida","Ligustrum obtusifolium","Persicaria pubescens","Plantago asiatica","Senecio nikoensis","Valeriana flaccidissima"
"Sphaerophoria macrogaster ",3,0,0,0,29,0,1,0,1,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp1 M_PL_057",0,3,2,0,0,0,0,1,0,1,0,0,37,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis cerana japonica ",4,0,2,8,0,0,3,0,5,0,1,5,0,8,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus globula ",0,27,6,0,0,0,2,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis cerealis ",6,3,14,1,5,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada shepparadana okubira ",1,0,0,0,3,12,0,0,1,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hypocrita hypocrita",1,0,2,1,0,0,0,0,0,7,1,0,0,2,1,0,17,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Unidentified sp2 M_PL_057",17,11,1,0,1,1,8,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellina sp1 M_PL_057",18,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphegina clunipes ",2,6,0,1,1,0,0,1,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
