"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.52173913043478,16.7529541963323,8,47,36,0.19954697779847
"pl2",1.52173913043478,14.9677474950658,8,42,32,0.181997240119152
"pl3",1.43478260869565,14.1359801177785,8,19,29,0.178379580301856
"pl4",1.78260869565217,13.2310934869868,8,52,29,0.149710640773469
"pl5",1.95652173913043,12.1444779725439,8,57,27,0.119967555596826
"pl6",1.69565217391304,12.4659816759247,8,34,26,0.146267693869066
"pl7",1.69565217391304,12.4717227279732,8,32,26,0.159877514327946
"pl8",2.04347826086957,10.1597644767643,8,32,22,0.114555618415402
"pl9",2.1304347826087,9.40842932819261,8,30,20,0.112265074138994
"pl10",1.8695652173913,9.37192649974495,8,13,19,0.119894275672621
"pl11",1.69565217391304,9.77382941231493,8,8,19,0.129685310160414
"pl12",1.8695652173913,9.32162972971167,8,5,18,0.129775901702054
"pl13",2.1304347826087,7.94648750890862,8,21,17,0.0852859939974464
"pl14",2.21739130434783,8.14975315488017,8,9,17,0.100581402217883
"pl15",2.04347826086957,8.07156369757432,8,10,16,0.10844694357102
"pl16",2.39130434782609,7.05322698810012,7,17,16,0.0804201553112596
"pl17",2.04347826086957,7.57802953432806,8,15,16,0.08501008117575
"pl18",1.95652173913043,7.5221571063819,8,6,14,0.104803264405146
"pl19",2.47826086956522,6.32901069496698,7,19,14,0.0788189708293527
"pl20",2.56521739130435,5.64555840376297,7,11,13,0.0595173232122434
"pl21",2.30434782608696,6.33788358962208,8,14,13,0.0789118398220592
"pl22",2.39130434782609,6.3024269920769,7,5,13,0.0861541172553719
"pl23",2.30434782608696,6.27077642257481,8,5,12,0.0891012070815722
"pl24",2.21739130434783,6.45780498659599,8,8,12,0.0895004572834128
"pl25",2.47826086956522,5.26318327121667,7,15,11,0.0679379935803021
"pl26",2.47826086956522,5.3110492143848,6,4,11,0.0649587624037865
"pl27",2.47826086956522,4.92323532795312,7,7,11,0.0714778328510585
"pl28",2.82608695652174,4.57384167700098,7,9,11,0.0410331990184273
"pl29",2.65217391304348,4.63659515448902,6,12,11,0.039351821374885
"pl30",2.65217391304348,4.42303639823708,7,6,10,0.058446051185544
"pl31",2.65217391304348,4.38687134116549,7,13,10,0.0429119158095987
"pl32",2.47826086956522,4.75249512316144,7,5,10,0.0546969328605029
"pl33",2.65217391304348,4.17231308083091,7,1,9,0.0502847394117599
"pl34",2.39130434782609,4.67920665587099,7,3,9,0.0672964613183082
"pl35",2.56521739130435,4.25928100283611,6,7,9,0.0494684166579708
"pl36",2.47826086956522,4.75562126860684,7,2,9,0.0721039127096841
"pl37",2.30434782608696,4.50383218206923,8,0,8,0.0611140373425355
"pl38",2.47826086956522,3.79254832969726,7,0,8,0.0579785806620864
"pl39",2.47826086956522,4.03861036120101,7,0,8,0.058246033674504
"pl40",2.56521739130435,4.30139616970155,6,4,8,0.0558508339639914
"pl41",2.65217391304348,3.71093910391674,6,1,8,0.0467877683607853
"pl42",2.47826086956522,4.17586383520841,7,4,8,0.0638195365167687
"pl43",2.65217391304348,3.83606762889424,6,6,8,0.0442574940422101
"pl44",2.65217391304348,3.17804811710308,6,0,7,0.038026756820969
"pl45",2.56521739130435,3.70494605576573,6,5,7,0.0571552324814081
"pl46",2.56521739130435,3.73328798287646,6,1,7,0.0560533458747531
"pl47",2.39130434782609,3.60106268905583,7,0,7,0.0496258095749277
"pl48",2.73913043478261,3.28621582511977,5,3,7,0.0412887851283194
"pl49",3,2.59253279488837,5,5,7,0.018505819939624
"pl50",2.73913043478261,3.64837468611054,6,4,7,0.0520595819396888
"pl51",2.91304347826087,2.83196973080517,5,2,7,0.0314901692470002
"pl52",2.56521739130435,3.36003616979227,6,0,6,0.0560210537947735
"pl53",2.65217391304348,2.79853850917742,5,0,6,0.0325604614551145
"pl54",2.47826086956522,3.13254875206095,6,0,6,0.0507089898482199
"pl55",3,2.17101756473257,4,2,6,0.01367461052476
"pl56",2.56521739130435,3.27143457530832,6,0,6,0.0469407407901646
"pl57",2.65217391304348,2.98761616908269,6,0,6,0.0413996669960888
"pl58",2.65217391304348,2.94706937058846,5,4,6,0.0374659364845708
"pl59",3.17391304347826,1.99880416852783,4,0,6,0.00388340228131586
"pl60",3,2.28101934310189,4,0,6,0.0192002630811532
"pl61",2.56521739130435,3.31696303059287,6,0,6,0.0512186612389381
"pl62",2.65217391304348,2.69044338456103,5,0,5,0.0408696422219629
"pl63",3.8695652173913,1.44055387553716,2,2,5,0.00184658149138369
"pl64",2.82608695652174,2.09965514711277,5,0,5,0.0297832337169408
"pl65",2.56521739130435,2.73550135501355,5,0,5,0.0448447725048324
"pl66",2.65217391304348,2.81549603436396,5,0,5,0.0484752628352172
"pl67",2.73913043478261,2.24892919696951,5,0,5,0.0341552322808605
"pl68",2.56521739130435,2.7419096154955,5,0,5,0.045668773929602
"pl69",2.73913043478261,2.48824543628575,5,0,5,0.0357795666653494
"pl70",2.65217391304348,2.3471748110046,5,0,5,0.0409267213446216
"pl71",2.82608695652174,2.34689318041056,4,1,5,0.0259585363917575
"pl72",2.91304347826087,2.11499392209714,5,0,5,0.0281550661456267
"pl73",2.73913043478261,2.52128703412158,5,0,5,0.0309626697621808
"pl74",2.73913043478261,2.30375001514546,3,0,5,0.0290293714420328
"pl75",2.82608695652174,2.39734371658444,4,1,5,0.0316317506534565
"pl76",2.65217391304348,2.35394999233011,5,0,5,0.0324124410719694
"pl77",2.82608695652174,2.15997594582582,4,2,5,0.0244959438746044
"pl78",2.56521739130435,2.93569739952719,5,0,5,0.0455244038265252
"pl79",2.73913043478261,2.68879920178477,5,0,5,0.043430576436611
"pl80",3.17391304347826,1.65454187344586,4,0,5,0.00329930403874549
"pl81",3.8695652173913,1.50249316520166,4,3,5,0.00229064415823392
"pl82",2.73913043478261,2.24019914407289,4,0,4,0.036902523906859
"pl83",2.82608695652174,1.75536743957797,4,0,4,0.0257117640549208
"pl84",2.65217391304348,2.22330623306233,4,0,4,0.0368075346387512
"pl85",2.82608695652174,2.05243556542114,4,0,4,0.0304598838051946
"pl86",2.82608695652174,2.10266600430535,3,0,4,0.024759961559049
"pl87",2.82608695652174,2.03689727463312,4,0,4,0.0300310961261318
"pl88",2.73913043478261,2.12904295256204,4,0,4,0.0341672733354611
"pl89",2.73913043478261,1.85301693635892,4,0,4,0.0227499554895574
"pl90",2.73913043478261,1.78979075036652,4,0,4,0.0263779126903829
"pl91",3,1.52067446869024,4,0,4,0.0134202148838049
"pl92",3.8695652173913,1.29860967005603,4,0,4,0.00217273347513309
"pl93",2.91304347826087,1.63875897503458,4,0,4,0.014258380560673
"pl94",2.65217391304348,1.98398999374609,4,0,4,0.0328273216992073
"pl95",3.17391304347826,1.02185792349727,2,0,3,0.00237653480370408
