"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.72,12.3305930936395,5,39,31,0.275003437788741
"pl2",1.88,9.69493843977667,5,28,24,0.20907659419046
"pl3",2.04,9.08478483700703,5,20,22,0.222070700146381
"pl4",2.04,8.18325967284531,5,24,20,0.182540491440175
"pl5",2.28,6.86985171857048,5,24,17,0.139424737008016
"pl6",2.28,6.93264426714266,5,17,17,0.163538104683706
"pl7",2.2,6.38551544648083,5,12,15,0.164679123412325
"pl8",2.28,6.06998855322328,5,22,15,0.124747366341711
"pl9",2.28,5.84848044065202,5,11,14,0.141001206264661
"pl10",2.44,5.63345645506258,5,23,14,0.126234344008901
"pl11",2.36,5.8598783649214,5,14,14,0.141216832956021
"pl12",2.28,5.95023033308237,5,12,14,0.151580564400439
"pl13",2.2,5.60642687719575,5,7,13,0.143266019721455
"pl14",2.28,4.83585564787649,5,8,11,0.126497153858526
"pl15",2.52,4.29455261364713,5,11,11,0.0789158836235034
"pl16",2.68,3.70106439281968,4,9,9,0.0877279308179924
"pl17",2.6,3.54753792551458,5,7,9,0.0643380074752546
"pl18",2.6,3.82189688839305,5,14,9,0.0855513047805605
"pl19",2.6,3.37363613617629,5,9,8,0.0836062227384614
"pl20",2.6,3.18574737007342,5,5,7,0.0890945815865694
"pl21",2.84,2.50053848203481,4,3,7,0.0387799848431477
"pl22",2.6,2.74961455287328,5,4,7,0.0574509658917605
"pl23",2.68,2.94360594456106,4,6,7,0.0782526997306833
"pl24",2.84,2.50412075628981,3,3,6,0.0594523972483986
"pl25",2.76,2.52620720072933,4,5,6,0.0600226594108246
"pl26",2.52,2.83062598852073,5,0,6,0.0850973907344837
"pl27",2.6,2.37034035002172,5,3,6,0.0432693907166111
"pl28",2.6,2.75434833787237,5,2,6,0.0830908682962587
"pl29",2.6,2.61267718683374,5,1,6,0.0707799765644417
"pl30",2.6,2.4932037450322,5,1,6,0.0570375686319249
"pl31",2.68,2.06034217946992,4,0,5,0.0532542416635373
"pl32",2.68,2.3019883011825,4,1,5,0.0670401570424959
"pl33",2.68,1.62987333824262,4,0,4,0.0368854512787932
"pl34",2.92,1.01915748274797,2,1,3,0.01600447474348
"pl35",2.92,1.23713030362647,3,0,3,0.0290806444805839
"pl36",2.92,0.80091533180778,2,0,2,0.0189290344886997
"pl37",3.08,0.703953712632594,2,0,2,0.00938115966880168
"pl38",3,0.423728813559322,1,0,1,0.0121195594566146
"pl39",2.92,0.675675675675676,1,0,1,0.0292264025016627
"pol1",1.48,10.5795243253317,5,10,25,0.301924324525996
"pol2",2.04,6.93834863704147,5,5,16,0.213057652379203
"pol3",2.04,6.23004226238721,5,4,15,0.16138774478523
"pol4",2.28,5.12860239738178,5,7,12,0.148368068158356
"pol5",2.2,4.49892697730712,5,0,10,0.14761106810535
"pol6",2.28,4.47443525230157,5,1,10,0.136324736998458
"pol7",2.28,4.41784875944718,5,1,10,0.137034142221604
"pol8",2.2,4.40480791837981,5,0,10,0.133307558706391
"pol9",2.28,4.16978244680493,5,1,10,0.103235505787341
"pol10",2.28,4.13189369809717,5,0,9,0.134228769823256
"pol11",2.28,3.9436866678825,5,0,9,0.122806185966185
"pol12",2.36,4.02294118278255,5,4,9,0.125201512648806
"pol13",2.44,3.76663257865225,5,4,9,0.09044300436662
"pol14",2.52,3.37408006758132,5,2,8,0.0821038845642997
"pol15",2.6,3.44283136736496,5,4,8,0.0946397979937347
"pol16",2.52,3.29272455240847,5,2,8,0.0915484974606077
"pol17",2.52,3.53267013546448,5,2,8,0.111785626470677
"pol18",2.6,2.99240340071493,5,2,7,0.0721747570988658
"pol19",2.44,3.28047056750929,5,0,7,0.111994384198204
"pol20",2.44,3.10821250061201,5,0,7,0.0936561203460256
"pol21",2.52,2.9064843322329,5,0,6,0.106519037241831
"pol22",2.6,2.71874413490833,5,1,6,0.0826565417660876
"pol23",2.6,2.5219641706865,5,1,6,0.0672751611945062
"pol24",2.76,2.10858502861944,4,0,5,0.0655141243635526
"pol25",2.68,2.27545262641851,4,0,5,0.0778512113127787
"pol26",2.6,2.22993823250723,5,0,5,0.0605701195674635
"pol27",2.76,2.02393534707321,4,2,5,0.0471789531216247
"pol28",2.6,2.18978695722882,5,0,5,0.0616022931232935
"pol29",2.68,1.8304551702231,4,0,4,0.0570998098174771
"pol30",2.68,1.73974215407586,4,0,4,0.0455243006850782
"pol31",2.84,1.548458880258,3,0,4,0.0351481273139509
"pol32",2.68,1.60465265728424,4,0,4,0.0367639924003773
"pol33",2.76,1.64338754944012,3,0,4,0.0443910236553209
"pol34",2.84,1.548458880258,4,0,4,0.0352524890174309
"pol35",2.76,1.69875229484305,4,0,4,0.0501212197534635
"pol36",2.76,1.52613688181404,3,0,3,0.0640579960004622
"pol37",2.76,1.42982790563905,3,0,3,0.0535130500719147
"pol38",2.76,1.46070746327646,3,0,3,0.0514050733673744
"pol39",2.92,1.14897581797387,3,0,3,0.0259143820804612
"pol40",2.76,1.51018791849665,3,0,3,0.0627900499398916
"pol41",2.76,1.4437206536246,3,0,3,0.053939274999508
"pol42",2.76,1.36283613027799,3,0,3,0.0425409427641621
"pol43",2.76,1.45620681188397,3,0,3,0.0561602183464952
"pol44",2.76,1.6035063208856,3,0,3,0.0683556899774371
"pol45",2.84,0.928792569659443,2,0,2,0.0311663704901538
"pol46",2.92,0.797011207970112,2,0,2,0.0154174513271793
"pol47",3.16,0.782970393931979,2,0,2,0.0207116388322788
"pol48",2.84,0.941750959190792,2,0,2,0.0324582408469738
"pol49",2.84,0.928792569659443,2,0,2,0.0311663704901538
"pol50",2.84,1.03594080338266,2,0,2,0.040488660655404
"pol51",2.84,0.928792569659443,2,0,2,0.0349929114369162
"pol52",2.84,0.835421888053467,2,0,2,0.0223121538012129
"pol53",2.84,0.848432556801841,2,0,2,0.0268926008094284
"pol54",2.84,1.01999184006528,2,0,2,0.0424510070664949
"pol55",2.84,1.07159142726858,2,0,2,0.0481169871002164
"pol56",2.84,0.916530278232406,2,0,2,0.0264666492527862
"pol57",2.84,0.913924891990695,2,0,2,0.0313398461370074
"pol58",3,0.80091533180778,2,0,2,0.019459195346038
"pol59",3.4,0.709290709290709,2,0,2,0.00646937806266906
"pol60",2.92,0.933508024893547,2,0,2,0.0323754664986707
"pol61",2.84,0.874811463046757,2,0,2,0.0256850331869232
"pol62",2.92,0.43859649122807,1,0,1,0.0122449780745166
"pol63",2.92,0.43859649122807,1,0,1,0.0134963735991861
"pol64",4.2,0.342465753424658,1,0,1,0.00154923993426163
"pol65",3,0.43859649122807,1,0,1,0.0120755979017229
"pol66",2.92,0.454545454545455,1,0,1,0.0159410089002458
"pol67",3.16,0.409836065573771,1,0,1,0.0122195379697532
"pol68",2.92,0.423728813559322,1,0,1,0.0136698492460397
"pol69",2.92,0.531914893617021,1,0,1,0.0202387028772206
"pol70",3.32,0.373134328358209,1,0,1,0.00757489447980462
"pol71",3.24,0.36231884057971,1,0,1,0.00581021885505595
"pol72",2.92,0.490196078431373,1,0,1,0.0176699968909677
"pol73",2.92,0.490196078431373,1,0,1,0.0176699968909677
"pol74",3,0.384615384615385,1,0,1,0.00828140254013815
"pol75",3,0.384615384615385,1,0,1,0.00862439323580272
"pol76",3.88,0.352112676056338,1,0,1,0.00375391895904243
"pol77",2.92,0.581395348837209,1,0,1,0.0266204492624863
"pol78",3.24,0.373134328358209,1,0,1,0.00849210086252559
"pol79",2.92,0.581395348837209,1,0,1,0.0266204492624863
"pol80",2.92,0.43859649122807,1,0,1,0.0134963735991861
"pol81",3,0.43859649122807,1,0,1,0.0120755979017229
"pol82",3,0.384615384615385,1,0,1,0.00828140254013816
"pol83",2.92,0.581395348837209,1,0,1,0.0266204492624863
"pol84",3.32,0.373134328358209,1,0,1,0.00757489447980461
"pol85",2.92,0.490196078431373,1,0,1,0.0176699968909677
"pol86",3,0.43859649122807,1,0,1,0.0158305578040086
"pol87",3.24,0.373134328358209,1,0,1,0.00849210086252559
"pol88",3.16,0.409836065573771,1,0,1,0.0122195379697532
"pol89",2.92,0.43859649122807,1,0,1,0.0122449780745166
"pol90",2.92,0.531914893617021,1,0,1,0.0202387028772206
"pol91",3.24,0.384615384615385,1,0,1,0.00809311777457516
"pol92",2.92,0.454545454545455,1,0,1,0.0159410089002458
"pol93",3,0.43859649122807,1,0,1,0.0120755979017229
"pol94",3.24,0.384615384615385,1,0,1,0.00809311777457516
"pol95",3,0.384615384615385,1,0,1,0.00828140254013816
"pol96",3,0.43859649122807,1,0,1,0.0120755979017229
"pol97",3,0.43859649122807,1,0,1,0.0120755979017229
"pol98",2.92,0.531914893617021,1,0,1,0.0202387028772206
"pol99",2.92,0.531914893617021,1,0,1,0.0202387028772206
"pol100",3,0.43859649122807,1,0,1,0.0158305578040086
"pol101",3.16,0.409836065573771,1,0,1,0.0122195379697532
"pol102",3.24,0.396825396825397,1,0,1,0.0076390909615376
"pol103",3.32,0.352112676056338,1,0,1,0.00575501723618441
"pol104",3,0.43859649122807,1,0,1,0.013648976490982
"pol105",2.92,0.43859649122807,1,0,1,0.0134963735991861
