"","Castanopsis sieboldii","Mallotus japonicus","Meliosma rigida","Glochidion acuminatum","Schima wallichii","Elaeocarpus japonicus","Lagerstroemia subcostata","Peucedanum joponicum","Ardisia sieboldii","Symplocos microcalyx","Heritiera littoralis","Wendtandia formosana","PittosPorum tobira","Ampetopsis brevipedunculata","Crepidiastrum lanceolatum","Deutzia naseana","Clerodendrum trichotomum","Machitus thunbergii","Schefflera octophylla","Youngia japonica","Ardisia quinquegona","Elaeocarpus sylvestris","Ilex integra","Glochidion obovatum","Glochidion zeylanicum","Musaenda parviflora","Maesa tenera","Euodia meliifolia","Alocasia odora","Cinnamomum doederleinii","Styrax japonica","Rhamnella franguloides","Euscaphis japonica","Kandetia candel","Antidesma joponicum","Dendropanax trifidus","Clematis terniflora","Ligustrum joponicum","Trema orientalis","Vitex rotundifolia","Callicarpa japonica","Litsea japonica","Acer insulae","Melastoma candidum","Mosla dianthera","Brassica campestris","Hibiscus maleinoi","Pandanus odoratissimus","Reynoutria japonica","Lysimachia mauiriana","Premna microphylla","Psychotria sepens","Scaevola frutescens","Diospyrus japonica","Farfugium joponicum","Premna corymbosa","Bredia hirsuta","Maackia tashiroi","Stauntonia hexaPhylla","Alpinia sp1 M_PL_044","Persicaria chinensis","Securinega suffruticosa","Vigna marina","Aeginetia indica","Aster asa-grayi","Croomia japonica","Meliosma oldhamii","Ajuga dictyocarpa","Cerbera manghas","Hibiscus tiliaceus","Rhaphiolepis indica","Ageratum houstonianum","Alpinia intermedia","Canavalia lineata","Cirsium brevicaule","Hibiscus hamabo","Piper kadzura","Pollia japonica","Psychotria homalosperma","Ranunculus sieboldii","Rubus croceacanthus","Rubus sieboldii","Sedum formosanum","Alpinia formosana","Ormocaipum cochinchinense","Pinus luchuensis","Rhynchotechum discolor","Scleria terrestris","Vaccinium wrightii","VVedelia biflora","Actinidia rufa","Ardisia pusilla","Barringtonia racemosa","Bauhinia japonica","Belamcanda chinensis","Bidens pilosa","Blastus cochinchinensis","Clematis grata","Eurya japonica","Ipomoea indica","Lasianthus japonicus","Litsea citriodora","Metothria tiukiuensis","Morinda umbellata","Musa balbisiana","Myrsine segttinii","Rhododendron tashiroi","Rubus grayanus","Salsola komarovii","Viola pseudo-japonica"
"Stomorhina obsoleta ",3,53,0,0,18,3,12,6,3,0,0,9,0,0,0,0,5,0,6,15,2,0,17,0,0,0,0,1,0,2,0,2,0,1,0,1,4,1,0,0,5,0,0,0,0,8,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus insularum ",1,4,28,0,0,1,8,0,6,0,0,1,0,6,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylocopa amamensis ",0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,5,0,0,1,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lygocoris sp1 M_PL_044",1,0,9,0,0,2,10,0,5,0,1,1,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellina tsutsuii ",1,0,3,0,3,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum subopacum ",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Attalus chujoanus ",0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaspis shibatai ",15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpelius exigussp ",0,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesiope ornata ",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
